# RA2 / YR 体素法线表（VoxLib 内置，VXL 文件里没有）
# 4 张 LOD 表，槽位 = VXL 头的 NormalsType - 1。
# 验证：tools/normalverify.py，外表面法线朝外命中率 94.0%（用错槽位只有 50.9%）。
#
#   RA2 D:\westwood\RA2YR\game.exe
#   YR  D:\westwood\RA2YR\gamemd.exe
#
# 格式：槽位 索引 x y z
# 槽位[0] 16 项  (NormalsType=1)
0   0 0.549463 -0.000183 -0.835518
0   1 0.000144 0.549404 -0.835557
0   2 -0.549404 -0.000068 -0.835557
0   3 0.000106 -0.549463 -0.835518
0   4 0.949008 0.000316 -0.315250
0   5 -0.000186 0.948997 -0.315284
0   6 -0.948997 0.000318 -0.315284
0   7 -0.000447 -0.949008 -0.315250
0   8 0.950844 -0.000279 0.309671
0   9 0.000202 0.950848 0.309657
0  10 -0.950848 -0.000070 0.309657
0  11 0.000147 -0.950844 0.309671
0  12 0.552370 -0.000011 0.833599
0  13 0.000020 0.552380 0.833592
0  14 -0.552380 0.000057 0.833593
0  15 -0.000066 -0.552370 0.833599
# 槽位[1] 36 项  (NormalsType=2)
1   0 0.671214 0.198492 -0.714194
1   1 0.269643 0.584394 -0.765360
1   2 -0.040546 0.096988 -0.994459
1   3 -0.572428 -0.091914 -0.814787
1   4 -0.171401 -0.572710 -0.801639
1   5 0.362557 -0.302999 -0.881331
1   6 0.810347 -0.348972 -0.470698
1   7 0.103962 0.938672 -0.328767
1   8 -0.324047 0.587669 -0.741376
1   9 -0.800865 0.340461 -0.492647
1  10 -0.665498 -0.590147 -0.456989
1  11 0.314767 -0.803002 -0.506073
1  12 0.972629 0.151076 -0.176550
1  13 0.680291 0.684236 -0.262727
1  14 -0.520079 0.827777 -0.210483
1  15 -0.961644 -0.179001 -0.207847
1  16 -0.262714 -0.937451 -0.228401
1  17 0.219707 -0.971301 0.091125
1  18 0.923808 -0.229975 0.306087
1  19 -0.082489 0.970660 0.225866
1  20 -0.591798 0.696790 0.405289
1  21 -0.925296 0.366601 0.097111
1  22 -0.705051 -0.687775 0.172828
1  23 0.732400 -0.680367 -0.026305
1  24 0.855162 0.374582 0.358311
1  25 0.473006 0.836480 0.276705
1  26 -0.097617 0.654112 0.750072
1  27 -0.904124 -0.153725 0.398658
1  28 -0.211916 -0.858090 0.467732
1  29 0.500227 -0.674408 0.543091
1  30 0.584539 -0.110249 0.803841
1  31 0.437373 0.454644 0.775889
1  32 -0.042441 0.083318 0.995619
1  33 -0.596251 0.220132 0.772028
1  34 -0.506455 -0.396977 0.765449
1  35 0.070569 -0.478474 0.875262
# 槽位[2] 64 项  (NormalsType=3)
2   0 0.456511 -0.073968 -0.886638
2   1 0.507694 0.385117 -0.770670
2   2 0.095432 0.226664 -0.969286
2   3 -0.358766 0.543188 -0.759101
2   4 -0.361276 0.132995 -0.922926
2   5 -0.483117 -0.324066 -0.813375
2   6 -0.018073 -0.197559 -0.980124
2   7 0.321100 -0.501477 -0.803378
2   8 0.799491 0.069616 -0.596630
2   9 0.390971 0.771306 -0.502224
2  10 0.080782 0.614490 -0.784778
2  11 -0.732750 0.411431 -0.542035
2  12 -0.735254 0.009102 -0.677731
2  13 -0.802494 -0.394908 -0.447271
2  14 -0.134130 -0.589155 -0.796809
2  15 0.719553 -0.376227 -0.583693
2  16 0.966875 0.173593 -0.187132
2  17 0.760831 0.519106 -0.389443
2  18 -0.114642 0.875519 -0.469386
2  19 -0.532367 0.768859 -0.354177
2  20 -0.962267 0.024977 -0.270958
2  21 -0.467387 -0.721986 -0.510182
2  22 0.058450 -0.852354 -0.519689
2  23 0.498233 -0.743740 -0.445663
2  24 0.939151 -0.270245 -0.212044
2  25 0.583932 0.809442 -0.061857
2  26 0.183797 0.973228 -0.138007
2  27 -0.884355 0.452219 -0.115822
2  28 -0.943178 -0.332067 0.012138
2  29 -0.698440 -0.706567 -0.113772
2  30 -0.228411 -0.954706 -0.190694
2  31 0.731564 -0.675861 -0.089588
2  32 0.969251 0.046804 0.241582
2  33 0.855647 0.503477 0.119916
2  34 -0.251153 0.967947 -0.000081
2  35 -0.647795 0.756749 0.087712
2  36 -0.969164 0.145194 0.199100
2  37 -0.414793 -0.888967 0.194126
2  38 0.250775 -0.961178 -0.115109
2  39 0.478629 -0.842593 0.246883
2  40 0.890044 -0.396142 0.225595
2  41 0.524051 0.762360 0.379707
2  42 0.119620 0.945482 0.302910
2  43 -0.760850 0.490075 0.425362
2  44 -0.869785 -0.202150 0.450122
2  45 -0.709467 -0.602424 0.365707
2  46 0.019309 -0.958871 0.283186
2  47 0.626113 -0.564677 0.537701
2  48 0.769943 -0.126663 0.625415
2  49 0.764191 0.350702 0.541314
2  50 -0.001878 0.741367 0.671098
2  51 -0.370880 0.818368 0.439001
2  52 -0.713909 0.128652 0.688318
2  53 -0.295165 -0.738664 0.606014
2  54 0.186195 -0.738369 0.648184
2  55 0.387523 -0.358783 0.849176
2  56 0.481022 0.124846 0.867774
2  57 0.391808 0.545056 0.741216
2  58 -0.003536 0.365598 0.930766
2  59 -0.420498 0.484961 0.766808
2  60 -0.354903 0.019470 0.934700
2  61 -0.547837 -0.359208 0.755543
2  62 -0.106662 -0.445115 0.889098
2  63 0.086796 -0.059307 0.994459
# 槽位[3] 245 项  (NormalsType=4)
3   0 0.526578 -0.359621 -0.770317
3   1 0.150482 0.435984 0.887284
3   2 0.414195 0.738255 -0.532374
3   3 0.075152 0.916249 -0.393498
3   4 -0.316149 0.930736 -0.183793
3   5 -0.773819 0.623334 -0.112510
3   6 -0.900842 0.428537 -0.069568
3   7 -0.998942 -0.010971 0.044665
3   8 -0.979761 -0.157670 -0.123324
3   9 -0.911274 -0.362371 -0.195620
3  10 -0.624069 -0.720941 -0.301301
3  11 -0.310173 -0.809345 -0.498752
3  12 0.146613 -0.815819 -0.559414
3  13 -0.716516 -0.694356 -0.066888
3  14 0.503972 -0.114202 -0.856137
3  15 0.455491 0.872627 -0.176211
3  16 -0.005010 -0.114373 -0.993425
3  17 -0.104675 -0.327701 -0.938965
3  18 0.560412 0.752589 -0.345756
3  19 -0.060576 0.821628 -0.566796
3  20 -0.302341 0.797007 -0.522847
3  21 -0.671543 0.670740 -0.314863
3  22 -0.778401 -0.128357 0.614505
3  23 -0.924050 0.278382 -0.261985
3  24 -0.699773 -0.550491 -0.455278
3  25 -0.568248 -0.517189 -0.640008
3  26 0.054098 -0.932864 -0.356143
3  27 0.758382 0.572893 -0.310888
3  28 0.003620 0.305026 -0.952337
3  29 -0.060850 -0.986886 -0.149511
3  30 0.635230 0.045478 -0.770983
3  31 0.521705 0.241309 -0.818287
3  32 0.269404 0.635425 -0.723641
3  33 0.045676 0.672754 -0.738455
3  34 -0.180511 0.674657 -0.715719
3  35 -0.397131 0.636640 -0.661042
3  36 -0.552004 0.472515 -0.687038
3  37 -0.772170 0.083090 -0.629960
3  38 -0.669819 -0.119533 -0.732840
3  39 -0.540455 -0.318444 -0.778782
3  40 -0.386135 -0.522789 -0.759994
3  41 -0.261466 -0.688567 -0.676395
3  42 -0.019412 -0.696103 -0.717680
3  43 0.303569 -0.481844 -0.821993
3  44 0.681939 -0.195129 -0.704900
3  45 -0.244889 -0.116562 -0.962519
3  46 0.800759 -0.022979 -0.598546
3  47 -0.370275 0.095584 -0.923991
3  48 -0.330671 -0.326578 -0.885440
3  49 -0.163220 -0.527579 -0.833679
3  50 0.126390 -0.313146 -0.941257
3  51 0.349548 -0.272226 -0.896498
3  52 0.239918 -0.085825 -0.966992
3  53 0.390845 0.081537 -0.916838
3  54 0.255267 0.268697 -0.928785
3  55 0.146245 0.480438 -0.864749
3  56 -0.326016 0.478456 -0.815349
3  57 -0.469682 -0.112519 -0.875636
3  58 0.818440 -0.258520 -0.513151
3  59 -0.474318 0.292238 -0.830433
3  60 0.778943 0.395842 -0.486371
3  61 0.624094 0.393773 -0.674870
3  62 0.740886 0.203834 -0.639953
3  63 0.480217 0.565768 -0.670297
3  64 0.380930 0.424535 -0.821378
3  65 -0.093422 0.501124 -0.860318
3  66 -0.236485 0.296198 -0.925387
3  67 -0.131531 0.093959 -0.986849
3  68 -0.823562 0.295777 -0.484006
3  69 0.611066 -0.624304 -0.486664
3  70 0.069496 -0.520330 -0.851133
3  71 0.226522 -0.664879 -0.711775
3  72 0.471308 -0.568904 -0.673957
3  73 0.388425 -0.742624 -0.545560
3  74 0.783675 -0.480729 -0.393385
3  75 0.962394 0.135676 -0.235349
3  76 0.876607 0.172034 -0.449406
3  77 0.633405 0.589793 -0.500941
3  78 0.182276 0.800658 -0.570721
3  79 0.177003 0.764134 0.620297
3  80 -0.544016 0.675515 -0.497721
